country,market_year,exports_1000mt
United States,1960,17799
United States,1961,19486
United States,1962,17663
United States,1963,23024
United States,1964,19677
United States,1965,23188
United States,1966,20983
United States,1967,20820
United States,1968,14805
United States,1969,16411
United States,1970,20167
United States,1971,16311
United States,1972,30382
United States,1973,33120
United States,1974,27719
United States,1975,31921
United States,1976,25842
United States,1977,30587
United States,1978,32499
United States,1979,37426
United States,1980,41200
United States,1981,48191
United States,1982,41058
United States,1983,38820
United States,1984,38685
United States,1985,24742
United States,1986,27175
United States,1987,43215
United States,1988,38506
United States,1989,33528
United States,1990,29106
United States,1991,34899
United States,1992,36838
United States,1993,33414
United States,1994,32340
United States,1995,33778
United States,1996,27257
United States,1997,28315
United States,1998,28460
United States,1999,29570
United States,2000,28904
United States,2001,26190
United States,2002,23139
United States,2003,31524
United States,2004,29009
United States,2005,27291
United States,2006,24725
United States,2007,34363
United States,2008,27635
United States,2009,23931
United States,2010,35147
United States,2011,28606
United States,2012,27544
United States,2013,32012
United States,2014,23523
United States,2015,21168
United States,2016,28600
United States,2017,24658
United States,2018,25503
United States,2019,26373
United States,2020,27048
United States,2021,21656
United States,2022,20700
United States,2023,19212
United States,2024,22477
United States,2025,24494
